EVTNAME913000;Latinoi Privileges;Un vent d'occidentalisation;Winde der Verwestlichung;;;;;;;;;;;
EVTDESC913000;Latinoi Traders and Merchants primarily italian in origin have arriving in large numbers setting up shops and other various forms of commercial ativity'\n\.;;Sobald die Winde der Verwestlichung gen Osten wehen, wird jeder Grashalm und jeder Baum im Osten dem folgen, was der Westwind bringt'\n\nWir nennen sie Omen, die seltsamen Dinge, die in letzter Zeit passiert sind. Vor unseren K�sten beginnen seltsame Schiffe aufzutauchen. Merkw�rdige Schiffe mit Masten so hoch, dass sie das Gesicht Gottes zu ber�hren scheinen. Zuerst waren sie eine Kuriosit�t, dann erschienen sie �fter -- was wird morgen sein? Seltsam sind ihre Schiffe, und seltsamer noch ihre Sitten, aber es kann kein Zweifel bestehen, dass wir hinsichtlich der Fremden aus 'Europa' eine Politik entwickeln m�ssen.;;;;;;;;;;;
EVTOPTA913000;We will allow the Latinois into $COUNTRY$, so long as they cause no trouble.;;;;;;;;;;;;;
EVTOPTB913000;They bring dangerous ideas. $COUNTRY$ will refuse them all access.;;;;;;;;;;;;;
EVTNAME913010;Shipwrecked Sailors;Les naufrag�s;Schiffsbr�chige Matrosen;;Marineros naufragados;;;;;;;;;
EVTDESC913010;An old pond\nA frog jumps in �\nThe sound of water.'\n\n-- Matsuo Basho\n\nOne of our coastal provinces is bustling with rumors about the strange people who were found along its shorelines earlier this morning. The more precise origin of these shipwrecked sailors is as of yet uncertain, but, wherever they are from, they are definitely not from $COUNTRY$. The difficulty now lies in deciding what to do with them: if we send them home, we are effectively changing our policy of non-interaction with the Latinois. Ignoring them and allowing them to stay, however, means permitting a Latinoi presence in $COUNTRY$ despite all our efforts.;;;;;;;;;;;;;
EVTOPTA913010;Send them home.;Les laisser rentrer chez eux.;Lasst sie heimkehren.;;Dejadles regresar a casa.;;;;;;;;;
EVTOPTB913010;Allow them to stay.;Les obliger � rester.;Zwingt sie, zu bleiben.;;Obligadles a quedarse.;;;;;;;;;
EVTNAME913015;Latinoi Smugglers;Contrebandiers �trangers;Ausl�ndische Schmuggler;;Contrabandistas extranjeros;;;;;;;;;
EVTDESC913015;One of our subjects has been discovered wearing Latinoi clothes, and further interrogation by the authorities has lead to the slow unraveling of a Latinoi smuggling ring. These foreigners come into $COUNTRY$ without permission, knowing they face execution should they be caught-- yet some of our advisors say there are benefits to their presence, as they can supply needs to the $COUNTRY_ADJ$ people that we cannot.;;;;;;;;;;;;;
913015.A;Ignore it.;;;;;;;;;;;;;
